id;name;min_amount;description;start_date;end_date
1;Tugrik Steel;94454;functionalities haptic Facilitator;2022-09-16;2022-09-17
2;white;4177;Cotton Tactics microchip;2022-09-16;2022-09-17
3;Alaska communities;29875;Savings;2022-09-16;2022-09-17
4;Bedfordshire benchmark Plastic;421;Rapid Oklahoma executive;2022-09-17;2022-09-16
5;HTTP Iowa;69482;Tasty Steel matrix;2022-09-17;2022-09-16
6;Avon hard interactive;4237;e-business Diverse;2022-09-16;2022-09-16
7;Rhode calculate;29974;Architect Creative West;2022-09-16;2022-09-16
8;IB Jewelery;82227;time-frame;2022-09-17;2022-09-17
9;View methodologies;9396;Kids Texas;2022-09-16;2022-09-16
10;Director Liaison;50611;installation intuitive neural-net;2022-09-16;2022-09-16
